what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1340219570370
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340219570431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340219572542
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340219578753
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340219579204
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340220042511
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340220045582
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340220566247
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340220567294
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340220605007
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1340220606242
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1340220607070
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1340220613902
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1340220618658
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1340220630905
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340220634063
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340220686087
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1340220688193
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1340220691605
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340220705459
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1340220717805
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.export",1340220717805
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340220717860
